EMPNO,ENAME,JOB,MGR,HIREDATE,SAL,COMM,DEPTNO
7773,PRASAD,DATA ENGG,2000,11/4/2016,2800,100,2501
7723,VIJAY,DATA ENGG,2000,11/5/2017,2000,70,2501
7001,RAJEEVI,ANALYST,2000,11/6/2016,2000,100,2501
2000,BALU,PRINCIPAL DATA ENGG,4000,11/7/2016,4000,200,2501
4000,RAJEEV,MANAGER,1000,11/8/2016,5000,76,2500
1000,VIJAY KOTU,SR MANAGER,200,11/9/2016,6000,200,2500
7012,PADMA,DEVELOPER,3000,11/10/2016,2600,50,2502
8012,HASIN,DEVELOPER,3000,11/11/2016,2000,80,2502
5345,GIRISH,DEVELOPER,3000,11/12/2016,2000,56,2502
3000,VIVEK,MANAGER,4000,11/13/2016,3000,200,2502
6508,ARCHIT,DEVELOPER,3000,11/14/2016,2300,80,2502
7023,JOANE,ANALYST,2000,11/15/2016,2100,68,2501
8012,SURI ,DESIGNER,4000,11/16/2016,2100,80,2502
200,CHRIS,CFO,,,8000,1000,2500
